latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.29931,81.60573,305.52,0.48,0.48,2026-07-07,1949,N20,VIIRS,n,2.0NRT,285.66,0.64,N,
21.29999,81.60863,305.34,0.48,0.48,2026-07-07,1949,N20,VIIRS,n,2.0NRT,285.78,0.96,N,
21.30978,81.59284,304.34,0.49,0.48,2026-07-07,1949,N20,VIIRS,n,2.0NRT,286.15,0.7,N,
21.31113,81.59106,304.55,0.49,0.48,2026-07-07,1949,N20,VIIRS,n,2.0NRT,286.07,1.01,N,
21.37591,81.68239,312.18,0.48,0.48,2026-07-07,1949,N20,VIIRS,n,2.0NRT,288.7,3.49,N,
21.37644,81.63986,308.65,0.48,0.48,2026-07-07,1949,N20,VIIRS,n,2.0NRT,287.91,1.8,N,
21.38918,81.64633,305.04,0.48,0.48,2026-07-07,1949,N20,VIIRS,n,2.0NRT,288.18,1.1,N,
21.48625,81.77051,310.89,0.48,0.48,2026-07-07,1949,N20,VIIRS,n,2.0NRT,288.8,1.77,N,
21.62204,81.79398,303.73,0.48,0.48,2026-07-07,1949,N20,VIIRS,n,2.0NRT,288.3,0.9,N,
21.6725,82.08018,309.77,0.46,0.47,2026-07-07,1949,N20,VIIRS,n,2.0NRT,288.25,1.82,N,
21.67415,82.08156,304.88,0.46,0.47,2026-07-07,1949,N20,VIIRS,n,2.0NRT,288.24,1.88,N,
22.3562,82.30133,334.48,0.54,0.42,2026-07-10,805,N20,VIIRS,n,2.0NRT,292.41,6.0,D,
22.3601,82.30076,330.08,0.54,0.42,2026-07-10,805,N20,VIIRS,n,2.0NRT,293.09,6.0,D,
22.35732,82.30294,295.09,0.54,0.42,2026-07-10,2032,N20,VIIRS,n,2.0NRT,264.48,0.67,N,
22.36113,82.30374,299.08,0.54,0.42,2026-07-10,2032,N20,VIIRS,n,2.0NRT,266.39,0.67,N,
21.75493,83.84231,308.96,0.4,0.37,2026-07-11,2014,N20,VIIRS,n,2.0NRT,281.06,1.02,N,
21.76434,83.84809,301.91,0.4,0.37,2026-07-11,2014,N20,VIIRS,n,2.0NRT,279.91,1.26,N,
21.98546,83.23327,315.85,0.39,0.36,2026-07-11,2014,N20,VIIRS,n,2.0NRT,291.61,2.59,N,
22.00538,82.67103,315.71,0.39,0.36,2026-07-11,2014,N20,VIIRS,n,2.0NRT,290.38,2.95,N,
22.03779,83.35039,310.84,0.39,0.36,2026-07-11,2014,N20,VIIRS,n,2.0NRT,284.48,2.53,N,
22.31304,82.53261,306.56,0.38,0.36,2026-07-11,2014,N20,VIIRS,n,2.0NRT,291.08,1.45,N,
22.3155,82.55966,308.16,0.38,0.36,2026-07-11,2014,N20,VIIRS,n,2.0NRT,292.05,1.2,N,
22.31633,82.5332,307.11,0.38,0.36,2026-07-11,2014,N20,VIIRS,n,2.0NRT,291.68,1.32,N,
22.32114,82.54549,315.28,0.38,0.36,2026-07-11,2014,N20,VIIRS,n,2.0NRT,291.6,2.49,N,
22.32148,82.56456,315.24,0.38,0.36,2026-07-11,2014,N20,VIIRS,n,2.0NRT,292.67,2.24,N,
22.32874,82.60394,306.68,0.38,0.36,2026-07-11,2014,N20,VIIRS,n,2.0NRT,291.76,1.24,N,
22.33006,82.53193,305.38,0.38,0.36,2026-07-11,2014,N20,VIIRS,n,2.0NRT,291.14,0.79,N,
22.33203,82.60455,313.36,0.38,0.36,2026-07-11,2014,N20,VIIRS,n,2.0NRT,291.34,1.21,N,
